Table Name,Column Name,Data Type,Sensitivity Level,Example Values
Finance,InvestmentValue,DECIMAL,Confidential,67608.16
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,EmployeeID,TEXT,Private,Dream role rest.
Sales,DiscountCoupons,TEXT,Public,History nature.
Employee,Age,INT,Private,70
Employee,Department,TEXT,Private,Require us heavy.
Finance,LoanAmount,DECIMAL,Confidential,34275.28
Employee,JobTitle,TEXT,Private,Popular quite chair.
Finance,TaxID,TEXT,Secret,GB90SODC80161037319781
ITSecurity,LoginAttempts,INT,Private,51
Finance,TaxID,TEXT,Secret,GB76WKGD80335643736699
Finance,LoanAmount,DECIMAL,Confidential,41073.45
ITSecurity,PasswordHash,TEXT,Secret,e4f8fa9b8d5a3718314dd28834daa667a081914db79d93b6252b3374012526a0
Employee,DateOfBirth,DATE,Private,2018-05-26
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB96OBWX60121722017516
Sales,DiscountCoupons,TEXT,Public,But move open.
Finance,BankAccountNumber,TEXT,Confidential,GB05KCPD85055964635432
ITSecurity,SessionToken,TEXT,Secret,9efab843-27dd-424d-bd81-2a1155da4dd3
Employee,Age,INT,Private,74
ITSecurity,SessionToken,TEXT,Secret,e8bce3a5-c339-4cd9-af7c-64aef4351a19
Employee,DateOfBirth,DATE,Private,2021-10-06
Employee,DateOfBirth,DATE,Private,1988-06-20
ITSecurity,LoginAttempts,INT,Private,22
ITSecurity,PasswordHash,TEXT,Secret,ccee0dbf9031c9df74c4e01460fb8a66325502d3a6061101ce884d3fec52edd9
ITSecurity,PasswordHash,TEXT,Secret,d278fb45ebfba7b7e0993f669e1a14c839e484a5a2667425f63b4b920721509c
Employee,FullName,TEXT,Private,Lisa Crawford
Sales,CustomerFeedback,TEXT,Public,Develop maybe.
Finance,InvestmentValue,DECIMAL,Confidential,55113.92
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,CompanyBudget,DECIMAL,Confidential,39373.83
Healthcare,EmergencyContact,TEXT,Private,Alexandra Robinson
Sales,FavoriteProducts,TEXT,Public,Crime best receive.
Employee,Department,TEXT,Private,Or arrive hard.
Finance,LoanAmount,DECIMAL,Confidential,24666.98
Finance,InvestmentValue,DECIMAL,Confidential,76255.93
Finance,LoanAmount,DECIMAL,Confidential,28063.72
ITSecurity,PasswordHash,TEXT,Secret,ada52020ad4d5d4f21a3dcb25f0b8ac827da68808ab6126857c8868a966159dd
Employee,PhoneNumber,TEXT,Private,001-463-448-7275x6745
Sales,LoyaltyPoints,INT,Private,68
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,CompanyBudget,DECIMAL,Confidential,13472.92
Healthcare,Diagnosis,TEXT,Confidential,People senior along.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB96LNNF19520767772233
Employee,Age,INT,Private,71
Healthcare,EmergencyContact,TEXT,Private,Joel Escobar
Finance,TaxID,TEXT,Secret,GB14SXRG04879431353202
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,Email,TEXT,Private,awilliams@example.org
Healthcare,Diagnosis,TEXT,Confidential,Medical central.
Healthcare,Diagnosis,TEXT,Confidential,Fire road since.
Employee,PhoneNumber,TEXT,Private,(227)327-4044
Employee,EmployeeID,TEXT,Private,Training structure.
Finance,CreditCardNumber,TEXT,Secret,GB34THEH77641237078282
Employee,EmployeeID,TEXT,Private,Base left year.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB37ZWMB22401976200609
Employee,Address,TEXT,Private,"579 Smith Lakes Suite 975
New Samuel, PW 04984"
Finance,BankAccountNumber,TEXT,Confidential,GB10YUIN99016401831391
Healthcare,EmergencyContact,TEXT,Private,Brenda Green
Employee,Age,INT,Private,19
Employee,JobTitle,TEXT,Private,Write how much as.
Employee,Gender,TEXT,Private,female
Finance,CreditCardNumber,TEXT,Secret,GB15QWOG88295339045146
Employee,ManagerName,TEXT,Private,Latoya Mejia
Sales,OrderHistory,TEXT,Public,Through activity.
Finance,InvestmentValue,DECIMAL,Confidential,36156.01
Sales,CustomerFeedback,TEXT,Public,Wall future.
Employee,JobTitle,TEXT,Private,Charge father guy.
ITSecurity,LoginAttempts,INT,Private,23
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB91VVWQ45020663778257
Employee,ManagerName,TEXT,Private,Colton Morrison
Sales,CustomerFeedback,TEXT,Public,Strategy beyond bad.
ITSecurity,PasswordHash,TEXT,Secret,71214328498895e36649cb24358b5716c1e8e41bced38828ae918b8cc1a9c6ea
Employee,Department,TEXT,Private,Partner political.
Employee,JobTitle,TEXT,Private,Various you ball.
Sales,DiscountCoupons,TEXT,Public,Public cause cover.
Sales,DiscountCoupons,TEXT,Public,Range probably how.
Employee,EmployeeID,TEXT,Private,My though.
Sales,CustomerFeedback,TEXT,Public,Really education.
Employee,JobTitle,TEXT,Private,Value Congress.
Healthcare,Diagnosis,TEXT,Confidential,Lead need end take.
Finance,LoanAmount,DECIMAL,Confidential,30447.6
Sales,CustomerFeedback,TEXT,Public,Ago interesting.
Healthcare,EmergencyContact,TEXT,Private,Jeffrey Howard
Finance,LoanAmount,DECIMAL,Confidential,59589.6
Finance,CreditCardNumber,TEXT,Secret,GB80HMBM60419606293812
Employee,FullName,TEXT,Private,Kenneth Hawkins
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,Department,TEXT,Private,Nor national baby.
Finance,BankAccountNumber,TEXT,Confidential,GB07LVDT90286144237545
Sales,FavoriteProducts,TEXT,Public,Others east hold.
Employee,DateOfBirth,DATE,Private,2019-03-16
Employee,Department,TEXT,Private,Old director step.
Sales,OrderHistory,TEXT,Public,Ahead president.
Sales,CustomerFeedback,TEXT,Public,Window compare when.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB35NKEW41286028715237
Employee,Gender,TEXT,Private,male
Employee,Gender,TEXT,Private,trans
ITSecurity,APIKey,TEXT,Secret,f2af50ab09ea0d2ebecd829e59455c7d
Healthcare,EmergencyContact,TEXT,Private,Robert Kline
Employee,Email,TEXT,Private,kimberlycastillo@example.org
Healthcare,EmergencyContact,TEXT,Private,Mitchell Pena
Employee,Gender,TEXT,Private,male
Employee,Age,INT,Private,56
Finance,InvestmentValue,DECIMAL,Confidential,17159.53
Sales,DiscountCoupons,TEXT,Public,Likely central edge.
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,Gender,TEXT,Private,trans
ITSecurity,PasswordHash,TEXT,Secret,071ef4a9c1f454fde470acd224b9b9562523583c5c8d49504c99971715885662
ITSecurity,PasswordHash,TEXT,Secret,a9e95e3277392ae62cbc3dfc1367f50e94ce22e57b41a4ca14aad4a33b5faa9c
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,TaxID,TEXT,Secret,GB69CVTE48246227914101
Finance,CompanyBudget,DECIMAL,Confidential,43971.44
Employee,Email,TEXT,Private,qwhite@example.com
ITSecurity,APIKey,TEXT,Secret,ae48d2b262a6d5e5a41f6e9f02dc00fc
Sales,OrderHistory,TEXT,Public,Country certainly.
ITSecurity,APIKey,TEXT,Secret,802b1b4b5dd21ab40a27568d789bfaa7
Sales,DiscountCoupons,TEXT,Public,Animal structure.
Sales,OrderHistory,TEXT,Public,Old staff travel.
ITSecurity,APIKey,TEXT,Secret,d3978e2c4698ce35ffc4f19164a26529
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,BankAccountNumber,TEXT,Confidential,GB74MZJO96688454105795
Healthcare,Prescription,TEXT,Confidential,Mean authority.
Healthcare,MedicalHistory,TEXT,Confidential,Deal couple.
Employee,ManagerName,TEXT,Private,Lisa Decker
Finance,CreditCardNumber,TEXT,Secret,GB52GOMD37057746866284
Employee,Address,TEXT,Private,"5905 Alexander Skyway Apt. 695
South Michael, WA 08811"
Sales,OrderHistory,TEXT,Public,Rule live TV indeed.
Healthcare,EmergencyContact,TEXT,Private,Sarah Peterson
Finance,CreditCardNumber,TEXT,Secret,GB55DLTR44953044824289
Finance,InvestmentValue,DECIMAL,Confidential,68767.69
Finance,TaxID,TEXT,Secret,GB91CSWG75140619324611
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,PhoneNumber,TEXT,Private,828-437-7601x83698
Finance,CreditCardNumber,TEXT,Secret,GB58VZQH07715119123178
Finance,InvestmentValue,DECIMAL,Confidential,25273.19
Sales,LoyaltyPoints,INT,Private,98
ITSecurity,SessionToken,TEXT,Secret,de0c9225-0b16-4cec-b98b-f2d49402352e
Finance,InvestmentValue,DECIMAL,Confidential,28900.76
Employee,PhoneNumber,TEXT,Private,001-785-440-8594x08839
Employee,Gender,TEXT,Private,female
Sales,OrderHistory,TEXT,Public,Expert opportunity.
Employee,Age,INT,Private,85
ITSecurity,LoginAttempts,INT,Private,91
Finance,InvestmentValue,DECIMAL,Confidential,56375.5
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB20TSIG20720913956328
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,Address,TEXT,Private,"296 Burns Oval
Jillside, PW 52744"
Healthcare,Diagnosis,TEXT,Confidential,Huge scientist.
ITSecurity,APIKey,TEXT,Secret,e81cd0a24d12431d51cce5889b2795f5
Employee,FullName,TEXT,Private,Lisa Barry
Healthcare,EmergencyContact,TEXT,Private,Frank Baldwin
Employee,Salary,DECIMAL,Confidential,36297.26
Sales,FavoriteProducts,TEXT,Public,Mean management cup.
Employee,JobTitle,TEXT,Private,Change free morning.
Employee,Address,TEXT,Private,"USS Singleton
FPO AP 60483"
Finance,LoanAmount,DECIMAL,Confidential,61552.87
Finance,InvestmentValue,DECIMAL,Confidential,87183.13
Employee,Department,TEXT,Private,Present game risk.
ITSecurity,LoginAttempts,INT,Private,81
Healthcare,MedicalHistory,TEXT,Confidential,Beyond store draw.
ITSecurity,SessionToken,TEXT,Secret,e832fac1-640f-45df-a103-2eceaac6c166
ITSecurity,LoginAttempts,INT,Private,75
Healthcare,EmergencyContact,TEXT,Private,Brian Hopkins
Employee,JobTitle,TEXT,Private,Goal natural office.
Employee,Email,TEXT,Private,rebecca57@example.com
ITSecurity,PasswordHash,TEXT,Secret,10d38c48b39019d22963b59747ac4f38a74eb07a8f404ebf3bf46c34bf094016
Employee,Gender,TEXT,Private,female
Sales,LoyaltyPoints,INT,Private,71
Employee,PhoneNumber,TEXT,Private,+1-359-400-8814
Employee,Salary,DECIMAL,Confidential,40766.12
Sales,CustomerFeedback,TEXT,Public,First he story.
Employee,ManagerName,TEXT,Private,Justin Trevino
Employee,Salary,DECIMAL,Confidential,76462.78
Sales,LoyaltyPoints,INT,Private,82
Employee,FullName,TEXT,Private,Kendra Navarro
Employee,DateOfBirth,DATE,Private,1997-04-16
Employee,ManagerName,TEXT,Private,Melissa Carpenter
Finance,CreditCardNumber,TEXT,Secret,GB20JXTB65350430130914
Employee,Department,TEXT,Private,Pattern ground from.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB05EQCE32429836858075
Finance,BankAccountNumber,TEXT,Confidential,GB43PUDC84087759139301
Employee,Salary,DECIMAL,Confidential,86154.19
Sales,OrderHistory,TEXT,Public,Maybe drug.
ITSecurity,LoginAttempts,INT,Private,18
Employee,Department,TEXT,Private,Chance free poor.
Employee,Email,TEXT,Private,xwright@example.org
Finance,CompanyBudget,DECIMAL,Confidential,77267.86
ITSecurity,LoginAttempts,INT,Private,72
Sales,DiscountCoupons,TEXT,Public,Available share.
ITSecurity,SessionToken,TEXT,Secret,ef2fb505-1077-4d5f-9995-121547f1ac02
Employee,Address,TEXT,Private,"24173 Black Dale Suite 791
South Joeview, IN 71297"
ITSecurity,PasswordHash,TEXT,Secret,d138d669c5c4784d1151bbdafcb63affd4926f23a47abb03279e3ef627feeb9a
Employee,ManagerName,TEXT,Private,Amber Elliott
ITSecurity,PasswordHash,TEXT,Secret,d4c2e68ffce6f80e99d0d283f2c0efa67b61c58c88ad312dea117fd8328bc21f
Healthcare,EmergencyContact,TEXT,Private,Thomas Ortega
Sales,DiscountCoupons,TEXT,Public,Generation.
Healthcare,EmergencyContact,TEXT,Private,Hannah Case
ITSecurity,LoginAttempts,INT,Private,28
Healthcare,Diagnosis,TEXT,Confidential,Performance sign.
Employee,PhoneNumber,TEXT,Private,776.562.1569
Employee,Address,TEXT,Private,"29716 Elliott Orchard
Lake Jordantown, AK 30442"
Employee,Gender,TEXT,Private,female
Healthcare,EmergencyContact,TEXT,Private,Alex Anderson
Sales,FavoriteProducts,TEXT,Public,Add perform heart.
Sales,FavoriteProducts,TEXT,Public,Whatever discussion.
Finance,CompanyBudget,DECIMAL,Confidential,63961.31
ITSecurity,LoginAttempts,INT,Private,64
Employee,Age,INT,Private,87
Sales,FavoriteProducts,TEXT,Public,Last side half set.
Sales,CustomerFeedback,TEXT,Public,Be wall defense.
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB29YJNC43976343060910
ITSecurity,APIKey,TEXT,Secret,7c96be923569300f073f738ebf859469
Employee,Email,TEXT,Private,rcalhoun@example.com
ITSecurity,SessionToken,TEXT,Secret,1503d635-49b6-4eac-a936-4da27930371e
Finance,CompanyBudget,DECIMAL,Confidential,77951.93
Sales,FavoriteProducts,TEXT,Public,Western tend cut.
Employee,PhoneNumber,TEXT,Private,001-998-238-4716x7359
ITSecurity,LoginAttempts,INT,Private,57
Employee,JobTitle,TEXT,Private,Military remember.
ITSecurity,LoginAttempts,INT,Private,20
Employee,Age,INT,Private,23
ITSecurity,APIKey,TEXT,Secret,53dd4333ac6f00d1a71ff2e7f7bb8c23
Finance,CompanyBudget,DECIMAL,Confidential,21225.35
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB70EOZY84046232653377
Finance,CompanyBudget,DECIMAL,Confidential,5283.84
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Finance,TaxID,TEXT,Secret,GB26ZRVO83981604851535
Employee,Department,TEXT,Private,Boy remain.
Employee,Email,TEXT,Private,rushlaura@example.net
Employee,EmployeeID,TEXT,Private,Central language of.
Employee,Department,TEXT,Private,Mrs model can war.
Finance,InvestmentValue,DECIMAL,Confidential,16916.95
Employee,Salary,DECIMAL,Confidential,45394.7
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
ITSecurity,PasswordHash,TEXT,Secret,63106acdbb45ede0c46de7aa31040b26ee167d9a2619810203e3074cd848f0f7
Employee,Gender,TEXT,Private,trans
Employee,Department,TEXT,Private,Effort collection.
Employee,Email,TEXT,Private,jacobtaylor@example.org
Sales,CustomerFeedback,TEXT,Public,Thought care.
Finance,TaxID,TEXT,Secret,GB64XYFK53174256266396
Employee,Email,TEXT,Private,michael63@example.org
ITSecurity,APIKey,TEXT,Secret,635458605d46c1ca32adbd3054691d02
Finance,TaxID,TEXT,Secret,GB85TNAI20543220315690
Healthcare,Prescription,TEXT,Confidential,Because standard.
ITSecurity,APIKey,TEXT,Secret,9c8d74336083d3a15c1354eb8585e03c
Finance,LoanAmount,DECIMAL,Confidential,74306.58
Healthcare,Prescription,TEXT,Confidential,Yet save down share.
Finance,LoanAmount,DECIMAL,Confidential,5378.4
Sales,DiscountCoupons,TEXT,Public,Tough describe tend.
ITSecurity,PasswordHash,TEXT,Secret,ec5c04bac439813998090936b459fe23c4d12c643a36ee20bdf873b27e44b7b0
Employee,Address,TEXT,Private,"2018 Crystal Gateway
Antoniochester, CA 32040"
Employee,Age,INT,Private,36
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Finance,CompanyBudget,DECIMAL,Confidential,72204.19
Sales,CustomerFeedback,TEXT,Public,Customer nearly.
Sales,DiscountCoupons,TEXT,Public,Approach parent.
Finance,BankAccountNumber,TEXT,Confidential,GB16PCKY50048279591693
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB80PPVF57777769789187
ITSecurity,PasswordHash,TEXT,Secret,b998ce3680a57cef7552fbc3a62f255bbb2974d15a130dc29c8ddf736b921537
Employee,Gender,TEXT,Private,trans
Employee,Email,TEXT,Private,lwright@example.org
Sales,CustomerFeedback,TEXT,Public,Majority.
Healthcare,Diagnosis,TEXT,Confidential,Image road game.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB41NLFC59979546772844
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB57IRUO96101722034464
Employee,DateOfBirth,DATE,Private,1979-07-21
Employee,EmployeeID,TEXT,Private,Book can talk point.
Sales,OrderHistory,TEXT,Public,Moment wonder car.
Employee,FullName,TEXT,Private,Mark Hall
Finance,CompanyBudget,DECIMAL,Confidential,17743.74
ITSecurity,PasswordHash,TEXT,Secret,abe1ae3cf79fb35dc20e4e775107d1c7ead083a44d414aed9586a30e9b8567f3
Employee,ManagerName,TEXT,Private,Lori Sawyer
Finance,CompanyBudget,DECIMAL,Confidential,1559.93
Employee,PhoneNumber,TEXT,Private,596.929.0309x878
Employee,Gender,TEXT,Private,male
Finance,CreditCardNumber,TEXT,Secret,GB21IMQA76080264249865
Finance,CreditCardNumber,TEXT,Secret,GB76EQEB15750444318614
Finance,CreditCardNumber,TEXT,Secret,GB21OBZU66092975601484
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,ManagerName,TEXT,Private,Denise Miller
Sales,OrderHistory,TEXT,Public,Attention window.
ITSecurity,SessionToken,TEXT,Secret,5ca3efcb-a29a-458e-9e7f-53e65b7c0337
Finance,InvestmentValue,DECIMAL,Confidential,74659.32
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,Department,TEXT,Private,Fight money station.
Employee,DateOfBirth,DATE,Private,1972-03-08
Sales,OrderHistory,TEXT,Public,Eight offer before.
Healthcare,Prescription,TEXT,Confidential,Energy door week.
Employee,JobTitle,TEXT,Private,History teacher.
Healthcare,MedicalHistory,TEXT,Confidential,Today eight until.
Sales,OrderHistory,TEXT,Public,Finish minute.
ITSecurity,LoginAttempts,INT,Private,25
Finance,InvestmentValue,DECIMAL,Confidential,88952.41
ITSecurity,PasswordHash,TEXT,Secret,73a13f13c3d1cf463a572a9a4c3a6986d1d8bdda38aee88aa38b9bf5f2db447c
Employee,EmployeeID,TEXT,Private,Hand man recent day.
Finance,InvestmentValue,DECIMAL,Confidential,96126.11
Finance,LoanAmount,DECIMAL,Confidential,34314.59
ITSecurity,SessionToken,TEXT,Secret,5a7c99a6-ae73-4571-a7c9-94662b408574
Employee,DateOfBirth,DATE,Private,1990-02-05
Healthcare,Diagnosis,TEXT,Confidential,Usually occur gun.
Employee,Age,INT,Private,24
Employee,Department,TEXT,Private,Cost stage speech.
Employee,Address,TEXT,Private,"58186 Rivera Stravenue
Smithside, WV 53661"
ITSecurity,SessionToken,TEXT,Secret,5bf6fbf4-7cfa-4b63-aefd-2db7069d2f87
Sales,LoyaltyPoints,INT,Private,40
Employee,Age,INT,Private,28
Finance,LoanAmount,DECIMAL,Confidential,49246.36
Sales,OrderHistory,TEXT,Public,Dream stand east.
Finance,InvestmentValue,DECIMAL,Confidential,91637.99
Healthcare,EmergencyContact,TEXT,Private,Patricia Potter
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB35XUEK28507025617551
Employee,EmployeeID,TEXT,Private,Address customer.
Employee,ManagerName,TEXT,Private,Bethany Jones
Healthcare,Prescription,TEXT,Confidential,Charge prepare push.
Employee,ManagerName,TEXT,Private,Julie Mason
Employee,JobTitle,TEXT,Private,Decision discover.
ITSecurity,PasswordHash,TEXT,Secret,39d545124e61dfcda2054c5b63a78aa6445684f06aec4f4300ba0437ba434e01
Healthcare,MedicalHistory,TEXT,Confidential,Particular.
ITSecurity,APIKey,TEXT,Secret,e3d4b76b1853ab7983706b1d509fbfa5
Healthcare,EmergencyContact,TEXT,Private,Sean Reese
Healthcare,Prescription,TEXT,Confidential,Ahead name fire.
Finance,InvestmentValue,DECIMAL,Confidential,22388.65
Finance,CompanyBudget,DECIMAL,Confidential,21882.12
ITSecurity,SessionToken,TEXT,Secret,654b668e-dc8d-4c48-8973-802d54dda763
Finance,CreditCardNumber,TEXT,Secret,GB50LMHN31112204614555
Finance,TaxID,TEXT,Secret,GB57QBQB74713409114515
Finance,InvestmentValue,DECIMAL,Confidential,53836.11
Finance,TaxID,TEXT,Secret,GB16XINJ01411415935550
Employee,Department,TEXT,Private,Expect statement.
Employee,Address,TEXT,Private,"887 Garcia Drives
Franciston, GA 43462"
ITSecurity,PasswordHash,TEXT,Secret,ec93b485b8d3271e1e349d910334b64ef6bc40befaadf732abe7715714f47834
Finance,BankAccountNumber,TEXT,Confidential,GB08KWMI86638343533802
Sales,CustomerFeedback,TEXT,Public,Court than view top.
ITSecurity,APIKey,TEXT,Secret,f6b7417cdfbe845511797f8eb089f4e3
Employee,Gender,TEXT,Private,trans
Employee,Department,TEXT,Private,Catch describe many.
Healthcare,Diagnosis,TEXT,Confidential,Different people.
Healthcare,Diagnosis,TEXT,Confidential,Staff style foreign.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB28FANG72398525973054
Finance,InvestmentValue,DECIMAL,Confidential,35540.87
Sales,OrderHistory,TEXT,Public,Form yet prepare.
Employee,PhoneNumber,TEXT,Private,4982812909
Finance,LoanAmount,DECIMAL,Confidential,18677.2
Finance,BankAccountNumber,TEXT,Confidential,GB11KMKO70616673367711
Finance,CreditCardNumber,TEXT,Secret,GB03CLVY83368807671695
Sales,LoyaltyPoints,INT,Private,42
Healthcare,MedicalHistory,TEXT,Confidential,Summer anything.
Sales,OrderHistory,TEXT,Public,Just physical.
Finance,LoanAmount,DECIMAL,Confidential,52218.67
Employee,DateOfBirth,DATE,Private,2013-10-09
Employee,Address,TEXT,Private,"0825 Justin Plaza
East Sandra, CT 37626"
ITSecurity,SessionToken,TEXT,Secret,907fab47-8767-42c4-84dd-0cf5000995c4
Employee,Salary,DECIMAL,Confidential,8909.03
Employee,Address,TEXT,Private,"275 Fernando Viaduct
South Bobbyhaven, ME 61740"
Employee,EmployeeID,TEXT,Private,Example follow five.
Finance,TaxID,TEXT,Secret,GB03PPLS99993449487642
Employee,ManagerName,TEXT,Private,Robert Johnson
Employee,Gender,TEXT,Private,female
Employee,Salary,DECIMAL,Confidential,24626.78
Sales,OrderHistory,TEXT,Public,Worker pattern.
Employee,Salary,DECIMAL,Confidential,34024.8
ITSecurity,LoginAttempts,INT,Private,86
Employee,Age,INT,Private,78
Employee,Gender,TEXT,Private,male
Finance,InvestmentValue,DECIMAL,Confidential,21299.56
Healthcare,MedicalHistory,TEXT,Confidential,Cell suffer event.
ITSecurity,PasswordHash,TEXT,Secret,b91e6366cf79713bceb3a354a377ce98708d734b7ad01c3021abff466f7564e6
Employee,JobTitle,TEXT,Private,Experience worker.
Finance,LoanAmount,DECIMAL,Confidential,62694.49
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,Email,TEXT,Private,floreschristopher@example.net
Employee,Salary,DECIMAL,Confidential,12974.91
Sales,LoyaltyPoints,INT,Private,82
Employee,Salary,DECIMAL,Confidential,3457.6
Healthcare,EmergencyContact,TEXT,Private,Robert West
Employee,Department,TEXT,Private,Better heart.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB33XXGJ14075006906108
ITSecurity,APIKey,TEXT,Secret,b250c073dd7526e7e39447e847a7e0e1
Employee,Department,TEXT,Private,However your gun.
Healthcare,Prescription,TEXT,Confidential,Short such maintain.
Healthcare,MedicalHistory,TEXT,Confidential,Cut myself table.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB67XSXT92748052537318
ITSecurity,LoginAttempts,INT,Private,92
Finance,CompanyBudget,DECIMAL,Confidential,88108.61
Employee,EmployeeID,TEXT,Private,Direction.
ITSecurity,SessionToken,TEXT,Secret,01fd25df-b381-401d-97cf-a5fc83b3ffa0
ITSecurity,SessionToken,TEXT,Secret,895a736a-ff35-4fe5-8b46-34d4f674d063
Employee,Gender,TEXT,Private,female
Employee,Age,INT,Private,19
Employee,Salary,DECIMAL,Confidential,61864.82
ITSecurity,APIKey,TEXT,Secret,d621a9d3dd42e4f1ccf41e4a1726712c
Finance,CompanyBudget,DECIMAL,Confidential,7687.35
Healthcare,EmergencyContact,TEXT,Private,Brandon Perkins
Sales,FavoriteProducts,TEXT,Public,Win serious point.
Sales,OrderHistory,TEXT,Public,Go who end idea big.
Finance,TaxID,TEXT,Secret,GB11ILQK44461244572955
Healthcare,Prescription,TEXT,Confidential,Half order director.
Finance,LoanAmount,DECIMAL,Confidential,95744.91
Sales,FavoriteProducts,TEXT,Public,Away head produce.
Finance,LoanAmount,DECIMAL,Confidential,19406.52
Employee,ManagerName,TEXT,Private,Ronald Bailey
Finance,LoanAmount,DECIMAL,Confidential,1570.55
Employee,Age,INT,Private,81
Employee,FullName,TEXT,Private,Amanda Anderson
ITSecurity,APIKey,TEXT,Secret,30263e250adeb72e463c6acada1c663b
Healthcare,MedicalHistory,TEXT,Confidential,Like own open four.
Finance,CreditCardNumber,TEXT,Secret,GB20IIEV53255737593333
ITSecurity,LoginAttempts,INT,Private,74
Employee,Salary,DECIMAL,Confidential,60308.73
Employee,Gender,TEXT,Private,male
Employee,PhoneNumber,TEXT,Private,885.838.2381
